item_id,codename_id,page_id,lessons_completed,open_ended_item,closed_item,open_ended_item_tally
Entbindung,Entbindung,A1_Z_VOR_A1_L1_P1,0,0,1,0
Entbindung_Datum,Entbindung_Datum,A1_Z_VOR_A1_L1_P1,0,0,1,0
Entbindung_Krankenhaus,Entbindung_Krankenhaus,A1_Z_VOR_A1_L1_P1,0,0,1,0
Einsamkeit1_v1,Einsamkeit1_v1,A1_Z_VOR_A1_L1_P5,0,0,1,0
Einsamkeit2_v1,Einsamkeit2_v1,A1_Z_VOR_A1_L1_P5,0,0,1,0
VorstGeb,VorstGeb,A1_V_P1,0,1,0,1
VorstAnw,VorstAnw,A1_V_P1,0,1,0,2
VorstErkl,VorstErkl,A1_V_P3,0,1,0,3
VorstZeit,VorstZeit,A1_V_P4,0,1,0,4
VorstSchmerzen,VorstSchmerzen,A1_V_P5,0,1,0,5
VorstKaiser,VorstKaiser,A1_V_P6,0,1,0,6
WünInfo,WünInfo,A1_K_P1,0,1,0,7
WünKommAng,WünKommAng,A1_K_P2,0,1,0,8
WünKommSelbst,WünKommSelbst,A1_K_P3,0,1,0,9
SACCIASU_v1  ,SACCIASU_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAAC1_v1,SACCIAAC1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACA_v1,SACCIACA_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACO1_v1,SACCIACO1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIACO2_v1,SACCIACO2_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAIA1_v1,SACCIAIA1_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
SACCIAIA2_v1,SACCIAIA2_v1,A1_Z_VOR_A1_L1_P1,0,0,1,9
RiskPer_v1,RiskPer_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
OE_v1,OE_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
CSE_v1,CSE_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
Int_v1,Int_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
PL_v1,PL_v1,A1_Z_VOR_A1_L1_P2,0,0,1,9
Barr_v1,Barr_v1,A1_Z_VOR_A1_L1_P3,0,1,0,10
Ress_v1,Ress_v1,A1_Z_VOR_A1_L1_P4,0,1,0,11
VUEIC1_v1,VUEIC1_v1,A1_Z_VOR_A1_L1_P5,0,0,1,11
VUEIC2_v1,VUEIC2_v1,A1_Z_VOR_A1_L1_P5,0,0,1,11
L1Klarheit_t1,L1Klarheit,A1_L1_P1,0,1,0,12
L1Richtigkeit_t1,L1Suffizienz,A1_L1_P1,0,1,0,13
L1Suffizienz_t1,L1Richtigkeit,A1_L1_P1,0,1,0,14
L1Kontext_t1,L1Kontext,A1_L1_P1,0,1,0,15
L1IA_t1,L1IA,A1_L1_P1,0,1,0,16
L1SACCIA_Klar_t1,L1SACCIA_Klar,A1_L1_P4,0,0,1,16
L1SACCIA_Richt_t1,L1SACCIA_Richt,A1_L1_P5,0,0,1,16
L1SACCIA_Suff_t1,L1SACCIA_Suff,A1_L1_P6,0,0,1,16
L1SACCIA_IA_t1,L1SACCIA_IA,A1_L1_P7,0,0,1,16
L1AchtSACCIA_t1,L1AchtSACCIA,A1_L1_P8,0,0,1,16
L2HäufigkeitSit_t1,L2HäufigkeitSit,A1_L2_P5,1,0,1,16
L2Worum_t1,L2Worum,A1_L2_P8,1,1,0,17
L2Inhalt_t1,L2Inhalt,A1_L2_P8,1,1,0,18
L2Wie_t1,L2Wie,A1_L2_P8,1,1,0,19
L2Reaktion_t1,L2Reaktion,A1_L2_P8,1,1,0,20
L2_S_WasSchach_t1,L2_S_WasSchach,A1_L2_P9,1,1,0,21
L2_S_WieAus_t1,L2_S_WieAus,A1_L2_P9,1,1,0,22
L2_S_WieBesser_t1,L2_S_WieBesser,A1_L2_P9,1,1,0,23
L2_A_ApellKoll_t1,L2_A_ApellKoll,A1_L2_P10,1,1,0,24
L2_A_WieAusge1_t1,L2_A_WieAusge1,A1_L2_P10,1,1,0,25
L2_A_WieBesForm1_t1,L2_A_WieBesForm1,A1_L2_P10,1,1,0,26
L2_SK_WelBotüber1_t1,L2_SK_WelBotüber1,A1_L2_P11,1,1,0,27
