page_id,pages_completed
A1_L0_INTRO,0
A1_L0_P1,1
A1_L0_P2,2
A1_L0_P3,3
A1_L0_P4,4
A1_L0_P5,5
A1_L0_P6,6
A1_L0_P7,7
A1_L0_P8,8
A1_L0_END,9
A1_L1_INTRO,10
A1_L1_P1,11
A1_L1_P2,12
A1_L1_P3,13
A1_L1_P4,14
A1_L1_P5,15
A1_L1_P6,16
A1_L1_P7,17
A1_L1_END,18
A1_L2_INTRO,19
A1_L2_P1,20
A1_L2_P2,21
A1_L2_P3,22
A1_L2_P4,23
A1_L2_P5,24
A1_L2_P6,25
A1_L2_P7,26
A1_L2_END,27
A1_L3_INTRO,28
A1_L3_P1,29
A1_L3_P2,30
A1_L3_P3,31
A1_L3_P4,32
A1_L3_P5,33
A1_L3_P6,34
A1_L3_P7,35
A1_L3_P8,36
A1_L3_P9,37
A1_L3_END,38
A1_Z_VOR_A1_L4_INTRO,39
A1_Z_VOR_A1_L4_P1,40
A1_Z_VOR_A1_L4_P2,41
A1_Z_VOR_A1_L4_END,42
A1_L4_INTRO,43
A1_L4_P1,44
A1_L4_P2,45
A1_L4_P3,46
A1_L4_P4,47
A1_L4_P5,48
A1_L4_P6,49
A1_L4_P7,50
A1_L4_P8,51
A1_L4_P9,52
A1_L4_P10,53
A1_L4_P11,54
A1_L4_END,55
A1_L5_INTRO,56
A1_L5_P1,57
A1_L5_P2,58
A1_L5_P3,59
A1_L5_P4,60
A1_L5_P5,61
A1_L5_P6,62
A1_L5_END,63
A1_L6_INTRO,64
A1_L6_P1,65
A1_L6_P2,66
A1_L6_P3,67
A1_L6_P4,68
A1_L6_END,69
A1_Z_VOR_A1_L7_INTRO,70
A1_Z_VOR_A1_L7_P1,71
A1_Z_VOR_A1_L7_P2,72
A1_Z_VOR_A1_L7_END,73
A1_L7_INTRO,74
A1_L7_P1,75
A1_L7_P2,76
A1_L7_P3,77
A1_L7_END,78
A1_L8_INTRO,79
A1_L8_P1,80
A1_L8_P2,81
A1_L8_P3,82
A1_L8_P4,83
A1_L8_P5,84
A1_L8_P6,85
A1_L8_END,86
A1_L9_INTRO,87
A1_L9_P1,88
A1_L9_P2,89
A1_L9_P3,90
A1_L9_P4,91
A1_L9_PLAENE,92
A1_L9_CHECK,93
A1_L9_BEWERTEN,94
A1_L9_ZUFRIEDENHEIT,95
A1_L9_INFO,96
A1_L9_END,97
A1_L10_INTRO,98
A1_L10_P1,99
A1_L10_P2,100
A1_L10_P3,101
A1_L10_P4,102
A1_L10_P5,103
A1_L10_P6,104
A1_L10_P7,105
A1_L10_P8,106
A1_L10_P9,107
A1_L10_P10,108
A1_L10_P11,109
A1_L10_P12,110
A1_L10_END,111
Ratings_1,112
