ID,Timestamp,UUID,UserCode,UserLanguage,Audience,Sex,AgeGroup,Occupation,CodenameCombined,Codename,Iteration,Attempt,Value
1,2022-08-10T13:33:18.494Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,VorstGeb_t1_a1,VorstGeb,1,1,Test
2,2022-08-10T13:33:45.021Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM1_v1_t1_a1,COMM1_v1,1,1,-1x
3,2022-08-10T13:33:45.032Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM4_v1_t1_a1,COMM4_v1,1,1,-1x
4,2022-08-10T13:33:45.033Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM2_v1_t1_a1,COMM2_v1,1,1,-1x
5,2022-08-10T13:33:45.039Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM3_v1_t1_a1,COMM3_v1,1,1,-1x
6,2022-08-10T13:33:45.040Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM5_v1_t1_a1,COMM5_v1,1,1,-1x
7,2022-08-10T13:33:45.050Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM6_v1_t1_a1,COMM6_v1,1,1,-1x
8,2022-08-10T13:33:45.052Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,COMM7_v1_t1_a1,COMM7_v1,1,1,-1x
9,2022-08-10T13:33:46.973Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,RiskPer_v1_t1_a1,RiskPer_v1,1,1,-1x
10,2022-08-10T13:33:46.982Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,CSE_v1_t1_a1,CSE_v1,1,1,-1x
11,2022-08-10T13:33:46.985Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,OE_v1_t1_a1,OE_v1,1,1,-1x
12,2022-08-10T13:33:46.991Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,PL_v1_t1_a1,PL_v1,1,1,-1x
13,2022-08-10T13:33:46.998Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,Int_v1_t1_a1,Int_v1,1,1,-1x
14,2022-08-10T13:33:49.500Z,3cc5ce58-1a41-4dfe-910c-21f4f4050ba5,AAAA11,de,A2,m,bis40,,VUEIC1_v1_t1_a1,VUEIC1_v1,1,1,-1x
